file,pinyin,tone,pinyin_tone
ling1_MV1_MP3.mp3,ling,1,ling1
zeng4_FV3_MP3.mp3,zeng,4,zeng4
hang2_FV1_MP3.mp3,hang,2,hang2
gou4_MV2_MP3.mp3,gou,4,gou4
guang1_MV3_MP3.mp3,guang,1,guang1
me2_MV2_MP3.mp3,me,2,me2
jue2_MV1_MP3.mp3,jue,2,jue2
luo4_MV1_MP3.mp3,luo,4,luo4
fei1_FV2_MP3.mp3,fei,1,fei1
zhuo2_FV1_MP3.mp3,zhuo,2,zhuo2
tiao2_MV2_MP3.mp3,tiao,2,tiao2
sang2_MV3_MP3.mp3,sang,2,sang2
mai3_MV2_MP3.mp3,mai,3,mai3
zhua3_MV1_MP3.mp3,zhua,3,zhua3
chan1_FV3_MP3.mp3,chan,1,chan1
si4_FV3_MP3.mp3,si,4,si4
sha4_FV2_MP3.mp3,sha,4,sha4
xu2_MV2_MP3.mp3,xu,2,xu2
bu1_FV1_MP3.mp3,bu,1,bu1
yi2_MV1_MP3.mp3,yi,2,yi2
hou1_MV3_MP3.mp3,hou,1,hou1
man3_MV3_MP3.mp3,man,3,man3
leng4_MV2_MP3.mp3,leng,4,leng4
shu1_FV1_MP3.mp3,shu,1,shu1
dang2_FV1_MP3.mp3,dang,2,dang2
shao4_FV1_MP3.mp3,shao,4,shao4
dui2_MV1_MP3.mp3,dui,2,dui2
gong1_FV3_MP3.mp3,gong,1,gong1
lei4_MV1_MP3.mp3,lei,4,lei4
sha1_MV2_MP3.mp3,sha,1,sha1
qing4_FV1_MP3.mp3,qing,4,qing4
song4_FV1_MP3.mp3,song,4,song4
zen3_MV1_MP3.mp3,zen,3,zen3
you3_FV1_MP3.mp3,you,3,you3
xia4_MV2_MP3.mp3,xia,4,xia4
kuo3_MV1_MP3.mp3,kuo,3,kuo3
gun1_FV3_MP3.mp3,gun,1,gun1
fen4_FV1_MP3.mp3,fen,4,fen4
zei2_FV1_MP3.mp3,zei,2,zei2
niu4_MV1_MP3.mp3,niu,4,niu4
gua1_MV2_MP3.mp3,gua,1,gua1
zhu2_FV3_MP3.mp3,zhu,2,zhu2
cao4_MV3_MP3.mp3,cao,4,cao4
nai2_FV2_MP3.mp3,nai,2,nai2
kan4_MV1_MP3.mp3,kan,4,kan4
eng3_MV1_MP3.mp3,eng,3,eng3
nai3_MV3_MP3.mp3,nai,3,nai3
ning2_FV1_MP3.mp3,ning,2,ning2
dao3_MV1_MP3.mp3,dao,3,dao3
hei1_FV2_MP3.mp3,hei,1,hei1
guang3_MV2_MP3.mp3,guang,3,guang3
feng2_MV3_MP3.mp3,feng,2,feng2
lian3_MV3_MP3.mp3,lian,3,lian3
nong2_MV2_MP3.mp3,nong,2,nong2
seng3_FV2_MP3.mp3,seng,3,seng3
ming2_FV1_MP3.mp3,ming,2,ming2
gan4_FV3_MP3.mp3,gan,4,gan4
kou1_MV2_MP3.mp3,kou,1,kou1
yu3_MV2_MP3.mp3,yu,3,yu3
ti3_FV1_MP3.mp3,ti,3,ti3
shi2_FV2_MP3.mp3,shi,2,shi2
zu4_MV2_MP3.mp3,zu,4,zu4
she3_MV2_MP3.mp3,she,3,she3
jun1_MV1_MP3.mp3,jun,1,jun1
jian3_FV3_MP3.mp3,jian,3,jian3
hui4_FV3_MP3.mp3,hui,4,hui4
sheng4_MV3_MP3.mp3,sheng,4,sheng4
xia4_MV3_MP3.mp3,xia,4,xia4
ping1_MV3_MP3.mp3,ping,1,ping1
ding3_MV3_MP3.mp3,ding,3,ding3
qun3_FV2_MP3.mp3,qun,3,qun3
heng1_MV2_MP3.mp3,heng,1,heng1
ba2_FV2_MP3.mp3,ba,2,ba2
dong4_MV3_MP3.mp3,dong,4,dong4
zang3_MV2_MP3.mp3,zang,3,zang3
tie1_FV3_MP3.mp3,tie,1,tie1
yao1_FV2_MP3.mp3,yao,1,yao1
guai2_MV1_MP3.mp3,guai,2,guai2
ang1_MV2_MP3.mp3,ang,1,ang1
zu4_FV2_MP3.mp3,zu,4,zu4
fang3_MV3_MP3.mp3,fang,3,fang3
ga1_FV1_MP3.mp3,ga,1,ga1
dou1_MV1_MP3.mp3,dou,1,dou1
han4_MV3_MP3.mp3,han,4,han4
keng3_MV2_MP3.mp3,keng,3,keng3
xing4_FV1_MP3.mp3,xing,4,xing4
fen1_FV1_MP3.mp3,fen,1,fen1
dun3_MV1_MP3.mp3,dun,3,dun3
mian3_MV1_MP3.mp3,mian,3,mian3
zuan1_MV3_MP3.mp3,zuan,1,zuan1
mei3_FV3_MP3.mp3,mei,3,mei3
le1_FV1_MP3.mp3,le,1,le1
xiong2_MV3_MP3.mp3,xiong,2,xiong2
liao1_FV1_MP3.mp3,liao,1,liao1
kao3_FV1_MP3.mp3,kao,3,kao3
sang1_MV1_MP3.mp3,sang,1,sang1
zhou3_FV2_MP3.mp3,zhou,3,zhou3
wa2_MV1_MP3.mp3,wa,2,wa2
suo1_MV2_MP3.mp3,suo,1,suo1
mai3_MV3_MP3.mp3,mai,3,mai3
pan3_FV1_MP3.mp3,pan,3,pan3
dai2_MV3_MP3.mp3,dai,2,dai2
cang1_FV2_MP3.mp3,cang,1,cang1
sa4_FV1_MP3.mp3,sa,4,sa4
ting4_FV1_MP3.mp3,ting,4,ting4
zhen2_FV3_MP3.mp3,zhen,2,zhen2
cu1_MV2_MP3.mp3,cu,1,cu1
yong2_MV3_MP3.mp3,yong,2,yong2
xiao4_FV2_MP3.mp3,xiao,4,xiao4
nie3_MV1_MP3.mp3,nie,3,nie3
kang2_MV3_MP3.mp3,kang,2,kang2
bian3_MV3_MP3.mp3,bian,3,bian3
chi1_MV2_MP3.mp3,chi,1,chi1
cha4_FV2_MP3.mp3,cha,4,cha4
tui3_MV1_MP3.mp3,tui,3,tui3
tang1_FV1_MP3.mp3,tang,1,tang1
zhan3_FV2_MP3.mp3,zhan,3,zhan3
wen1_MV3_MP3.mp3,wen,1,wen1
fu2_MV2_MP3.mp3,fu,2,fu2
zhuan3_FV1_MP3.mp3,zhuan,3,zhuan3
la4_FV3_MP3.mp3,la,4,la4
ang3_FV1_MP3.mp3,ang,3,ang3
miao3_MV1_MP3.mp3,miao,3,miao3
bin2_MV1_MP3.mp3,bin,2,bin2
cang2_FV3_MP3.mp3,cang,2,cang2
ri3_MV1_MP3.mp3,ri,3,ri3
chua4_FV3_MP3.mp3,chua,4,chua4
bu1_MV1_MP3.mp3,bu,1,bu1
nve3_MV1_MP3.mp3,nve,3,nve3
zei3_MV3_MP3.mp3,zei,3,zei3
ga1_FV3_MP3.mp3,ga,1,ga1
tuan2_FV3_MP3.mp3,tuan,2,tuan2
mian3_FV3_MP3.mp3,mian,3,mian3
xia1_FV1_MP3.mp3,xia,1,xia1
zhai4_FV1_MP3.mp3,zhai,4,zhai4
si1_MV1_MP3.mp3,si,1,si1
quan1_FV2_MP3.mp3,quan,1,quan1
du3_MV1_MP3.mp3,du,3,du3
ye4_MV3_MP3.mp3,ye,4,ye4
diu4_MV2_MP3.mp3,diu,4,diu4
a3_MV2_MP3.mp3,a,3,a3
rong3_FV2_MP3.mp3,rong,3,rong3
zhan4_FV1_MP3.mp3,zhan,4,zhan4
lve3_FV1_MP3.mp3,lve,3,lve3
zang3_FV3_MP3.mp3,zang,3,zang3
gun4_MV1_MP3.mp3,gun,4,gun4
liao4_MV2_MP3.mp3,liao,4,liao4
pin1_FV3_MP3.mp3,pin,1,pin1
nong1_MV2_MP3.mp3,nong,1,nong1
song3_MV3_MP3.mp3,song,3,song3
ge3_MV2_MP3.mp3,ge,3,ge3
yao3_MV1_MP3.mp3,yao,3,yao3
lai3_FV3_MP3.mp3,lai,3,lai3
diao1_FV2_MP3.mp3,diao,1,diao1
can2_MV2_MP3.mp3,can,2,can2
mo2_FV1_MP3.mp3,mo,2,mo2
po4_FV3_MP3.mp3,po,4,po4
tui4_FV3_MP3.mp3,tui,4,tui4
guo1_MV1_MP3.mp3,guo,1,guo1
le2_FV3_MP3.mp3,le,2,le2
ca1_FV2_MP3.mp3,ca,1,ca1
ru1_MV3_MP3.mp3,ru,1,ru1
er3_MV3_MP3.mp3,er,3,er3
hong1_MV3_MP3.mp3,hong,1,hong1
dao4_MV3_MP3.mp3,dao,4,dao4
jue4_MV1_MP3.mp3,jue,4,jue4
xian4_MV3_MP3.mp3,xian,4,xian4
xiang2_MV1_MP3.mp3,xiang,2,xiang2
song4_MV3_MP3.mp3,song,4,song4
guo1_MV3_MP3.mp3,guo,1,guo1
leng1_MV1_MP3.mp3,leng,1,leng1
duo4_MV3_MP3.mp3,duo,4,duo4
tun1_FV3_MP3.mp3,tun,1,tun1
dui3_FV1_MP3.mp3,dui,3,dui3
shai3_MV2_MP3.mp3,shai,3,shai3
chan3_MV1_MP3.mp3,chan,3,chan3
yin4_FV1_MP3.mp3,yin,4,yin4
jia3_FV2_MP3.mp3,jia,3,jia3
sen2_MV2_MP3.mp3,sen,2,sen2
zhong4_MV3_MP3.mp3,zhong,4,zhong4
zai1_MV2_MP3.mp3,zai,1,zai1
nin2_MV2_MP3.mp3,nin,2,nin2
chuan3_MV3_MP3.mp3,chuan,3,chuan3
nen4_MV3_MP3.mp3,nen,4,nen4
li1_FV3_MP3.mp3,li,1,li1
ne2_FV3_MP3.mp3,ne,2,ne2
huang4_MV2_MP3.mp3,huang,4,huang4
jiao1_FV1_MP3.mp3,jiao,1,jiao1
sui3_MV3_MP3.mp3,sui,3,sui3
tong2_FV1_MP3.mp3,tong,2,tong2
leng1_FV1_MP3.mp3,leng,1,leng1
sao4_MV3_MP3.mp3,sao,4,sao4
zhi2_FV2_MP3.mp3,zhi,2,zhi2
niu2_MV2_MP3.mp3,niu,2,niu2
she3_FV3_MP3.mp3,she,3,she3
gong3_MV1_MP3.mp3,gong,3,gong3
shou3_MV1_MP3.mp3,shou,3,shou3
nve3_FV2_MP3.mp3,nve,3,nve3
mao4_MV1_MP3.mp3,mao,4,mao4
ren1_MV2_MP3.mp3,ren,1,ren1
kuan3_MV3_MP3.mp3,kuan,3,kuan3
pu1_FV2_MP3.mp3,pu,1,pu1
tiao4_MV2_MP3.mp3,tiao,4,tiao4
du1_FV2_MP3.mp3,du,1,du1
tou2_MV3_MP3.mp3,tou,2,tou2
zuan2_FV1_MP3.mp3,zuan,2,zuan2
nv1_MV3_MP3.mp3,nv,1,nv1
lie4_MV2_MP3.mp3,lie,4,lie4
gun2_MV3_MP3.mp3,gun,2,gun2
du1_FV3_MP3.mp3,du,1,du1
sao2_FV1_MP3.mp3,sao,2,sao2
hua2_MV2_MP3.mp3,hua,2,hua2
nong3_FV1_MP3.mp3,nong,3,nong3
gen4_MV3_MP3.mp3,gen,4,gen4
qia3_MV2_MP3.mp3,qia,3,qia3
diu2_MV3_MP3.mp3,diu,2,diu2
chuo1_FV1_MP3.mp3,chuo,1,chuo1
bo2_MV3_MP3.mp3,bo,2,bo2
mie3_FV1_MP3.mp3,mie,3,mie3
zui3_FV2_MP3.mp3,zui,3,zui3
qia4_FV2_MP3.mp3,qia,4,qia4
ce1_FV1_MP3.mp3,ce,1,ce1
gun3_FV2_MP3.mp3,gun,3,gun3
zhou4_FV1_MP3.mp3,zhou,4,zhou4
kou4_MV1_MP3.mp3,kou,4,kou4
liu2_MV3_MP3.mp3,liu,2,liu2
ni4_FV3_MP3.mp3,ni,4,ni4
man1_FV3_MP3.mp3,man,1,man1
gang1_FV3_MP3.mp3,gang,1,gang1
an1_FV1_MP3.mp3,an,1,an1
gou1_FV2_MP3.mp3,gou,1,gou1
die2_FV3_MP3.mp3,die,2,die2
ma1_MV1_MP3.mp3,ma,1,ma1
chong1_FV3_MP3.mp3,chong,1,chong1
hou3_FV2_MP3.mp3,hou,3,hou3
nang1_FV2_MP3.mp3,nang,1,nang1
yin3_FV2_MP3.mp3,yin,3,yin3
qie4_FV1_MP3.mp3,qie,4,qie4
tong4_MV2_MP3.mp3,tong,4,tong4
xing2_MV1_MP3.mp3,xing,2,xing2
gai2_FV3_MP3.mp3,gai,2,gai2
tai3_MV3_MP3.mp3,tai,3,tai3
guai3_MV1_MP3.mp3,guai,3,guai3
xia1_MV1_MP3.mp3,xia,1,xia1
jiao1_FV2_MP3.mp3,jiao,1,jiao1
shui4_FV3_MP3.mp3,shui,4,shui4
chuo1_FV3_MP3.mp3,chuo,1,chuo1
nei2_FV2_MP3.mp3,nei,2,nei2
ha1_MV2_MP3.mp3,ha,1,ha1
kan3_MV3_MP3.mp3,kan,3,kan3
liu1_FV3_MP3.mp3,liu,1,liu1
qiao3_MV2_MP3.mp3,qiao,3,qiao3
wen1_MV2_MP3.mp3,wen,1,wen1
yun3_FV1_MP3.mp3,yun,3,yun3
kai1_MV1_MP3.mp3,kai,1,kai1
wo4_MV2_MP3.mp3,wo,4,wo4
su4_MV1_MP3.mp3,su,4,su4
shang2_MV3_MP3.mp3,shang,2,shang2
lao3_MV1_MP3.mp3,lao,3,lao3
ang4_MV3_MP3.mp3,ang,4,ang4
qia2_MV2_MP3.mp3,qia,2,qia2
hai2_FV3_MP3.mp3,hai,2,hai2
qun3_MV2_MP3.mp3,qun,3,qun3
yuan1_FV3_MP3.mp3,yuan,1,yuan1
ban4_MV1_MP3.mp3,ban,4,ban4
ci2_FV2_MP3.mp3,ci,2,ci2
yun4_FV3_MP3.mp3,yun,4,yun4
kong2_FV3_MP3.mp3,kong,2,kong2
jue2_FV3_MP3.mp3,jue,2,jue2
an3_FV1_MP3.mp3,an,3,an3
tun4_FV2_MP3.mp3,tun,4,tun4
da2_MV1_MP3.mp3,da,2,da2
tao4_MV1_MP3.mp3,tao,4,tao4
diu3_MV1_MP3.mp3,diu,3,diu3
tuan1_MV3_MP3.mp3,tuan,1,tuan1
lan4_FV1_MP3.mp3,lan,4,lan4
a4_MV1_MP3.mp3,a,4,a4
zao1_MV3_MP3.mp3,zao,1,zao1
dai3_FV1_MP3.mp3,dai,3,dai3
wang3_MV3_MP3.mp3,wang,3,wang3
mei4_MV2_MP3.mp3,mei,4,mei4
rong2_MV3_MP3.mp3,rong,2,rong2
kou1_FV2_MP3.mp3,kou,1,kou1
zha1_FV1_MP3.mp3,zha,1,zha1
gan4_MV1_MP3.mp3,gan,4,gan4
zhei4_FV1_MP3.mp3,zhei,4,zhei4
cang3_FV2_MP3.mp3,cang,3,cang3
en1_FV1_MP3.mp3,en,1,en1
ye1_FV1_MP3.mp3,ye,1,ye1
den1_MV3_MP3.mp3,den,1,den1
xia3_FV2_MP3.mp3,xia,3,xia3
pie1_MV2_MP3.mp3,pie,1,pie1
qiang3_FV3_MP3.mp3,qiang,3,qiang3
chan2_FV1_MP3.mp3,chan,2,chan2
cui3_MV2_MP3.mp3,cui,3,cui3
zen4_MV2_MP3.mp3,zen,4,zen4
zeng1_FV3_MP3.mp3,zeng,1,zeng1
dian2_FV2_MP3.mp3,dian,2,dian2
ying4_FV1_MP3.mp3,ying,4,ying4
yuan4_FV3_MP3.mp3,yuan,4,yuan4
xiang2_MV2_MP3.mp3,xiang,2,xiang2
mie4_FV1_MP3.mp3,mie,4,mie4
cang2_MV2_MP3.mp3,cang,2,cang2
cai4_FV3_MP3.mp3,cai,4,cai4
zhen1_MV2_MP3.mp3,zhen,1,zhen1
lan2_MV2_MP3.mp3,lan,2,lan2
xing4_MV3_MP3.mp3,xing,4,xing4
gun3_FV3_MP3.mp3,gun,3,gun3
ran1_FV3_MP3.mp3,ran,1,ran1
cheng2_FV1_MP3.mp3,cheng,2,cheng2
wa2_FV2_MP3.mp3,wa,2,wa2
wen2_MV2_MP3.mp3,wen,2,wen2
ming4_MV2_MP3.mp3,ming,4,ming4
qun4_FV1_MP3.mp3,qun,4,qun4
chang2_MV3_MP3.mp3,chang,2,chang2
di1_FV3_MP3.mp3,di,1,di1
gua4_MV2_MP3.mp3,gua,4,gua4
yin4_FV3_MP3.mp3,yin,4,yin4
shuan1_FV1_MP3.mp3,shuan,1,shuan1
kao1_FV2_MP3.mp3,kao,1,kao1
lao3_MV3_MP3.mp3,lao,3,lao3
chua1_FV3_MP3.mp3,chua,1,chua1
wo3_FV1_MP3.mp3,wo,3,wo3
guai3_MV2_MP3.mp3,guai,3,guai3
chan4_MV1_MP3.mp3,chan,4,chan4
hai2_FV1_MP3.mp3,hai,2,hai2
shang3_FV1_MP3.mp3,shang,3,shang3
shuan3_FV2_MP3.mp3,shuan,3,shuan3
ruan2_MV3_MP3.mp3,ruan,2,ruan2
lou2_FV3_MP3.mp3,lou,2,lou2
jue4_MV3_MP3.mp3,jue,4,jue4
lei1_FV3_MP3.mp3,lei,1,lei1
fu1_MV3_MP3.mp3,fu,1,fu1
neng4_FV2_MP3.mp3,neng,4,neng4
pian4_MV1_MP3.mp3,pian,4,pian4
hun3_FV1_MP3.mp3,hun,3,hun3
kuan4_FV2_MP3.mp3,kuan,4,kuan4
tu1_MV1_MP3.mp3,tu,1,tu1
kang3_FV1_MP3.mp3,kang,3,kang3
zhun3_FV2_MP3.mp3,zhun,3,zhun3
gui4_FV2_MP3.mp3,gui,4,gui4
huo2_MV3_MP3.mp3,huo,2,huo2
er2_FV1_MP3.mp3,er,2,er2
beng4_MV1_MP3.mp3,beng,4,beng4
nong2_FV1_MP3.mp3,nong,2,nong2
zen2_FV3_MP3.mp3,zen,2,zen2
nuan1_FV2_MP3.mp3,nuan,1,nuan1
jiao3_FV1_MP3.mp3,jiao,3,jiao3
sheng3_FV2_MP3.mp3,sheng,3,sheng3
fu2_MV3_MP3.mp3,fu,2,fu2
qiong2_MV2_MP3.mp3,qiong,2,qiong2
zhi4_FV3_MP3.mp3,zhi,4,zhi4
nin2_FV3_MP3.mp3,nin,2,nin2
gai2_FV1_MP3.mp3,gai,2,gai2
rong1_MV2_MP3.mp3,rong,1,rong1
lan3_MV1_MP3.mp3,lan,3,lan3
ying3_MV3_MP3.mp3,ying,3,ying3
peng3_MV3_MP3.mp3,peng,3,peng3
tui1_MV3_MP3.mp3,tui,1,tui1
kun4_FV3_MP3.mp3,kun,4,kun4
hei4_FV2_MP3.mp3,hei,4,hei4
shai4_MV2_MP3.mp3,shai,4,shai4
kan4_MV3_MP3.mp3,kan,4,kan4
qin1_MV3_MP3.mp3,qin,1,qin1
mou4_MV2_MP3.mp3,mou,4,mou4
chou3_MV2_MP3.mp3,chou,3,chou3
chu2_MV3_MP3.mp3,chu,2,chu2
zu3_FV3_MP3.mp3,zu,3,zu3
a2_FV1_MP3.mp3,a,2,a2
zhuan3_MV3_MP3.mp3,zhuan,3,zhuan3
fei3_MV3_MP3.mp3,fei,3,fei3
pan1_FV3_MP3.mp3,pan,1,pan1
ei3_MV1_MP3.mp3,ei,3,ei3
dang3_MV3_MP3.mp3,dang,3,dang3
guo4_MV2_MP3.mp3,guo,4,guo4
a1_MV2_MP3.mp3,a,1,a1
ban1_MV2_MP3.mp3,ban,1,ban1
suan2_MV1_MP3.mp3,suan,2,suan2
shei3_FV3_MP3.mp3,shei,3,shei3
zao4_MV2_MP3.mp3,zao,4,zao4
sun2_FV2_MP3.mp3,sun,2,sun2
ai1_MV3_MP3.mp3,ai,1,ai1
ge2_FV3_MP3.mp3,ge,2,ge2
lai3_FV2_MP3.mp3,lai,3,lai3
chuan2_FV2_MP3.mp3,chuan,2,chuan2
xi2_FV1_MP3.mp3,xi,2,xi2
ze2_FV2_MP3.mp3,ze,2,ze2
sa1_FV2_MP3.mp3,sa,1,sa1
feng3_MV1_MP3.mp3,feng,3,feng3
shuang3_MV3_MP3.mp3,shuang,3,shuang3
seng1_FV1_MP3.mp3,seng,1,seng1
wan2_FV1_MP3.mp3,wan,2,wan2
jie4_MV3_MP3.mp3,jie,4,jie4
lao4_FV1_MP3.mp3,lao,4,lao4
la2_FV3_MP3.mp3,la,2,la2
run1_MV1_MP3.mp3,run,1,run1
nei4_FV1_MP3.mp3,nei,4,nei4
bao1_FV1_MP3.mp3,bao,1,bao1
qian3_MV3_MP3.mp3,qian,3,qian3
ting2_FV2_MP3.mp3,ting,2,ting2
gai4_MV2_MP3.mp3,gai,4,gai4
wei1_MV2_MP3.mp3,wei,1,wei1
kan1_FV1_MP3.mp3,kan,1,kan1
suan4_MV3_MP3.mp3,suan,4,suan4
cuan3_MV1_MP3.mp3,cuan,3,cuan3
fan2_FV1_MP3.mp3,fan,2,fan2
long4_MV1_MP3.mp3,long,4,long4
yao2_FV1_MP3.mp3,yao,2,yao2
bang1_MV2_MP3.mp3,bang,1,bang1
sui4_MV1_MP3.mp3,sui,4,sui4
shua2_MV3_MP3.mp3,shua,2,shua2
dia2_MV1_MP3.mp3,dia,2,dia2
chai4_MV1_MP3.mp3,chai,4,chai4
kuang2_MV3_MP3.mp3,kuang,2,kuang2
feng1_MV2_MP3.mp3,feng,1,feng1
kuang2_MV2_MP3.mp3,kuang,2,kuang2
ju4_MV2_MP3.mp3,ju,4,ju4
chou1_FV2_MP3.mp3,chou,1,chou1
ke1_FV2_MP3.mp3,ke,1,ke1
kuang3_FV1_MP3.mp3,kuang,3,kuang3
ga4_FV2_MP3.mp3,ga,4,ga4
wan2_FV2_MP3.mp3,wan,2,wan2
nan3_FV1_MP3.mp3,nan,3,nan3
sha3_MV2_MP3.mp3,sha,3,sha3
fo1_MV3_MP3.mp3,fo,1,fo1
miao4_FV3_MP3.mp3,miao,4,miao4
fen1_FV3_MP3.mp3,fen,1,fen1
nin1_MV1_MP3.mp3,nin,1,nin1
ben4_FV2_MP3.mp3,ben,4,ben4
xue1_MV2_MP3.mp3,xue,1,xue1
jian4_FV2_MP3.mp3,jian,4,jian4
yo2_FV2_MP3.mp3,yo,2,yo2
tie3_FV3_MP3.mp3,tie,3,tie3
cui2_FV2_MP3.mp3,cui,2,cui2
ri2_FV3_MP3.mp3,ri,2,ri2
pen4_FV3_MP3.mp3,pen,4,pen4
jue4_FV1_MP3.mp3,jue,4,jue4
zi2_FV2_MP3.mp3,zi,2,zi2
chi3_MV2_MP3.mp3,chi,3,chi3
rao2_MV2_MP3.mp3,rao,2,rao2
teng4_FV1_MP3.mp3,teng,4,teng4
shun3_MV1_MP3.mp3,shun,3,shun3
chui4_FV2_MP3.mp3,chui,4,chui4
bang3_FV1_MP3.mp3,bang,3,bang3
mi1_MV3_MP3.mp3,mi,1,mi1
hu2_FV2_MP3.mp3,hu,2,hu2
bing2_FV1_MP3.mp3,bing,2,bing2
zui4_FV2_MP3.mp3,zui,4,zui4
piao3_FV1_MP3.mp3,piao,3,piao3
den4_MV3_MP3.mp3,den,4,den4
tuan3_FV2_MP3.mp3,tuan,3,tuan3
fang2_MV2_MP3.mp3,fang,2,fang2
cha3_MV3_MP3.mp3,cha,3,cha3
ou2_FV3_MP3.mp3,ou,2,ou2
